
-- -----------------------------------------------------
-- Data for table `medlink`.`medicine`
-- -----------------------------------------------------
START TRANSACTION;
USE `medlink`;
INSERT INTO `medlink`.`medicine` (`medi_id`, `medi_name`, `medi_unit_of_measure`, `medi_category_id`) VALUES (0, 'Risedronate', 0, 0);
INSERT INTO `medlink`.`medicine` (`medi_id`, `medi_name`, `medi_unit_of_measure`, `medi_category_id`) VALUES (1, 'Alendronate', 0, 0);
INSERT INTO `medlink`.`medicine` (`medi_id`, `medi_name`, `medi_unit_of_measure`, `medi_category_id`) VALUES (2, 'Ibandronate', 0, 0);
INSERT INTO `medlink`.`medicine` (`medi_id`, `medi_name`, `medi_unit_of_measure`, `medi_category_id`) VALUES (3, 'Raloxifene', 0, 0);
INSERT INTO `medlink`.`medicine` (`medi_id`, `medi_name`, `medi_unit_of_measure`, `medi_category_id`) VALUES (4, 'Infliximab', 0, 0);
INSERT INTO `medlink`.`medicine` (`medi_id`, `medi_name`, `medi_unit_of_measure`, `medi_category_id`) VALUES (5, 'Adalimumab', 0, 0);
INSERT INTO `medlink`.`medicine` (`medi_id`, `medi_name`, `medi_unit_of_measure`, `medi_category_id`) VALUES (6, 'Etanercept', 1, 0);
INSERT INTO `medlink`.`medicine` (`medi_id`, `medi_name`, `medi_unit_of_measure`, `medi_category_id`) VALUES (7, 'Methtrexate', 1, 0);
INSERT INTO `medlink`.`medicine` (`medi_id`, `medi_name`, `medi_unit_of_measure`, `medi_category_id`) VALUES (8, 'Hydroxychloroquine', 1, 0);
INSERT INTO `medlink`.`medicine` (`medi_id`, `medi_name`, `medi_unit_of_measure`, `medi_category_id`) VALUES (9, 'Allopurinol', 0, 0);
INSERT INTO `medlink`.`medicine` (`medi_id`, `medi_name`, `medi_unit_of_measure`, `medi_category_id`) VALUES (10, 'Colchicine', 1, 0);
INSERT INTO `medlink`.`medicine` (`medi_id`, `medi_name`, `medi_unit_of_measure`, `medi_category_id`) VALUES (11, 'Amiodarone', 0, 1);
INSERT INTO `medlink`.`medicine` (`medi_id`, `medi_name`, `medi_unit_of_measure`, `medi_category_id`) VALUES (12, 'Digoxin', 0, 1);
INSERT INTO `medlink`.`medicine` (`medi_id`, `medi_name`, `medi_unit_of_measure`, `medi_category_id`) VALUES (13, 'Aspirin', 0, 1);
INSERT INTO `medlink`.`medicine` (`medi_id`, `medi_name`, `medi_unit_of_measure`, `medi_category_id`) VALUES (14, 'Aspirin/Dipyridamole', 1, 1);
INSERT INTO `medlink`.`medicine` (`medi_id`, `medi_name`, `medi_unit_of_measure`, `medi_category_id`) VALUES (15, 'Clopidogrel', 1, 1);
INSERT INTO `medlink`.`medicine` (`medi_id`, `medi_name`, `medi_unit_of_measure`, `medi_category_id`) VALUES (16, 'Prasugrel', 1, 1);
INSERT INTO `medlink`.`medicine` (`medi_id`, `medi_name`, `medi_unit_of_measure`, `medi_category_id`) VALUES (17, 'Ticagrelor', 1, 1);
INSERT INTO `medlink`.`medicine` (`medi_id`, `medi_name`, `medi_unit_of_measure`, `medi_category_id`) VALUES (18, 'Nitroglycerin', 0, 1);
INSERT INTO `medlink`.`medicine` (`medi_id`, `medi_name`, `medi_unit_of_measure`, `medi_category_id`) VALUES (19, 'Isosorbide mononitrate', 0, 1);
INSERT INTO `medlink`.`medicine` (`medi_id`, `medi_name`, `medi_unit_of_measure`, `medi_category_id`) VALUES (20, 'Ranolazine', 0, 1);
INSERT INTO `medlink`.`medicine` (`medi_id`, `medi_name`, `medi_unit_of_measure`, `medi_category_id`) VALUES (21, 'Hydrochlorthiazide', 0, 1);
INSERT INTO `medlink`.`medicine` (`medi_id`, `medi_name`, `medi_unit_of_measure`, `medi_category_id`) VALUES (22, 'Metolazone', 0, 1);
INSERT INTO `medlink`.`medicine` (`medi_id`, `medi_name`, `medi_unit_of_measure`, `medi_category_id`) VALUES (23, 'Furosemide', 1, 1);
INSERT INTO `medlink`.`medicine` (`medi_id`, `medi_name`, `medi_unit_of_measure`, `medi_category_id`) VALUES (24, 'Torsemide', 0, 1);
INSERT INTO `medlink`.`medicine` (`medi_id`, `medi_name`, `medi_unit_of_measure`, `medi_category_id`) VALUES (25, 'Bumetanide', 1, 1);
INSERT INTO `medlink`.`medicine` (`medi_id`, `medi_name`, `medi_unit_of_measure`, `medi_category_id`) VALUES (26, 'Spironolactone', 1, 1);
INSERT INTO `medlink`.`medicine` (`medi_id`, `medi_name`, `medi_unit_of_measure`, `medi_category_id`) VALUES (27, 'Nifedipine XL', 1, 1);
INSERT INTO `medlink`.`medicine` (`medi_id`, `medi_name`, `medi_unit_of_measure`, `medi_category_id`) VALUES (28, 'Amlodipine', 1, 1);
INSERT INTO `medlink`.`medicine` (`medi_id`, `medi_name`, `medi_unit_of_measure`, `medi_category_id`) VALUES (29, 'Amlodipine/benazepril', 0, 1);
INSERT INTO `medlink`.`medicine` (`medi_id`, `medi_name`, `medi_unit_of_measure`, `medi_category_id`) VALUES (30, 'Diltiazem', 1, 1);
INSERT INTO `medlink`.`medicine` (`medi_id`, `medi_name`, `medi_unit_of_measure`, `medi_category_id`) VALUES (31, 'Fenofibrate', 0, 1);
INSERT INTO `medlink`.`medicine` (`medi_id`, `medi_name`, `medi_unit_of_measure`, `medi_category_id`) VALUES (32, 'Genfibrozil', 0, 1);
INSERT INTO `medlink`.`medicine` (`medi_id`, `medi_name`, `medi_unit_of_measure`, `medi_category_id`) VALUES (33, 'Omega-3 Acid Ethyl Esters', 0, 1);
INSERT INTO `medlink`.`medicine` (`medi_id`, `medi_name`, `medi_unit_of_measure`, `medi_category_id`) VALUES (34, 'Niacin', 0, 1);
INSERT INTO `medlink`.`medicine` (`medi_id`, `medi_name`, `medi_unit_of_measure`, `medi_category_id`) VALUES (35, 'Ezetimibe', 0, 1);
INSERT INTO `medlink`.`medicine` (`medi_id`, `medi_name`, `medi_unit_of_measure`, `medi_category_id`) VALUES (36, 'Colesevelam', 1, 1);
INSERT INTO `medlink`.`medicine` (`medi_id`, `medi_name`, `medi_unit_of_measure`, `medi_category_id`) VALUES (37, 'Atenolol', 1, 1);
INSERT INTO `medlink`.`medicine` (`medi_id`, `medi_name`, `medi_unit_of_measure`, `medi_category_id`) VALUES (38, 'Metoprolol tartrate', 1, 1);
INSERT INTO `medlink`.`medicine` (`medi_id`, `medi_name`, `medi_unit_of_measure`, `medi_category_id`) VALUES (39, 'Metoprolol succinate', 1, 1);
INSERT INTO `medlink`.`medicine` (`medi_id`, `medi_name`, `medi_unit_of_measure`, `medi_category_id`) VALUES (40, 'Nebivolol', 0, 1);
INSERT INTO `medlink`.`medicine` (`medi_id`, `medi_name`, `medi_unit_of_measure`, `medi_category_id`) VALUES (41, 'Propranolol', 1, 1);
INSERT INTO `medlink`.`medicine` (`medi_id`, `medi_name`, `medi_unit_of_measure`, `medi_category_id`) VALUES (42, 'Carvedilol', 0, 1);
INSERT INTO `medlink`.`medicine` (`medi_id`, `medi_name`, `medi_unit_of_measure`, `medi_category_id`) VALUES (43, 'Lisinopril', 1, 1);
INSERT INTO `medlink`.`medicine` (`medi_id`, `medi_name`, `medi_unit_of_measure`, `medi_category_id`) VALUES (44, 'Lisinopril/hydrochlorthiazide', 0, 1);
INSERT INTO `medlink`.`medicine` (`medi_id`, `medi_name`, `medi_unit_of_measure`, `medi_category_id`) VALUES (45, 'Enalapril', 1, 1);
INSERT INTO `medlink`.`medicine` (`medi_id`, `medi_name`, `medi_unit_of_measure`, `medi_category_id`) VALUES (46, 'Pamipril', 0, 1);
INSERT INTO `medlink`.`medicine` (`medi_id`, `medi_name`, `medi_unit_of_measure`, `medi_category_id`) VALUES (47, 'Losartan', 0, 1);
INSERT INTO `medlink`.`medicine` (`medi_id`, `medi_name`, `medi_unit_of_measure`, `medi_category_id`) VALUES (48, 'Olmesartan', 0, 1);
INSERT INTO `medlink`.`medicine` (`medi_id`, `medi_name`, `medi_unit_of_measure`, `medi_category_id`) VALUES (49, 'Valsartan', 0, 1);
INSERT INTO `medlink`.`medicine` (`medi_id`, `medi_name`, `medi_unit_of_measure`, `medi_category_id`) VALUES (50, 'Dabigatran', 0, 1);
INSERT INTO `medlink`.`medicine` (`medi_id`, `medi_name`, `medi_unit_of_measure`, `medi_category_id`) VALUES (51, 'Rivaroxaban', 1, 1);
INSERT INTO `medlink`.`medicine` (`medi_id`, `medi_name`, `medi_unit_of_measure`, `medi_category_id`) VALUES (52, 'Apixaban', 1, 1);
INSERT INTO `medlink`.`medicine` (`medi_id`, `medi_name`, `medi_unit_of_measure`, `medi_category_id`) VALUES (53, 'Warfarin', 1, 1);
